"","Stage.diff","Stage.lwr","Stage.upr","Stage.p.adj"
"Stage_IV-Stage_IIA",-1527.87858529112,-7058.10500953498,4002.34783895273,0.99979330768718
"Stage_IVA-Stage_IIA",-682.004494382023,-6989.07117048381,5625.06218171977,0.9999999988722
"Stage_IVB-Stage_IIA",3459.26050561798,-13148.0177500275,20066.5387612635,0.999993404257869
"Stage_IIC-Stage_IIB",-8311.89250000005,-34280.1479011978,17656.3629011977,0.998905294385164
"Stage_III-Stage_IIB",3922.0375,-10301.3617622914,18145.4367622914,0.999797911178556
"Stage_IIIA-Stage_IIB",-511.685833333326,-18251.3814715958,17228.0098049292,1
"Stage_IIIB-Stage_IIB",2550.10272727272,-9579.65291965681,14679.8583742022,0.999992586372255
"Stage_IIIC-Stage_IIB",523.770699999988,-11984.1974383903,13031.7388383902,1
"Stage_IV-Stage_IIB",1295.64340909089,-11329.4065469319,13920.6933651136,0.999999999447325
"Stage_IVA-Stage_IIB",2141.51749999999,-10842.6102005989,15125.6452005989,0.999999675573039
"Stage_IVB-Stage_IIB",6282.78249999999,-13832.1416397799,26397.7066397799,0.999163925880524
"Stage_III-Stage_IIC",12233.9300000001,-12401.7201786263,36869.5801786264,0.931446556481939
"Stage_IIIA-Stage_IIC",7800.20666666673,-19019.6921863732,34620.1055197066,0.99962576058887
"Stage_IIIB-Stage_IIC",10861.9952272728,-12627.1755797889,34351.1660343345,0.960970331595683
"Stage_IIIC-Stage_IIC",8835.66320000004,-14851.0301129149,32522.3565129149,0.994545581921688
"Stage_IV-Stage_IIC",9607.53590909094,-14141.1916261092,33356.263444291,0.98801937198232
"Stage_IVA-Stage_IIC",10453.41,-13488.1385149678,34394.9585149679,0.976047893073347
"Stage_IVB-Stage_IIC",14594.675,-13852.1235245827,43041.4735245828,0.912780170874209
"Stage_IIIA-Stage_III",-4433.72333333333,-20158.2828654794,11290.8361988128,0.999738071954791
"Stage_IIIB-Stage_III",-1371.93477272729,-10299.1932094499,7555.32366399533,0.99999987228356
"Stage_IIIC-Stage_III",-3398.26680000002,-12833.0025192877,6036.46891928764,0.996172315044207
"Stage_IV-Stage_III",-2626.39409090911,-12215.8079173057,6963.01973548751,0.999813299414931
"Stage_IVA-Stage_III",-1780.52000000001,-11837.98206989,8276.94206988995,0.999999181449553
"Stage_IVB-Stage_III",2360.74499999999,-16001.5844897711,20723.0744897711,0.999999988232856
"Stage_IIIB-Stage_IIIA",3061.78856060604,-10797.7806231628,16921.3577443749,0.999986195677256
"Stage_IIIC-Stage_IIIA",1035.45653333331,-13156.2999772767,15227.2130439433,0.999999999994987
"Stage_IV-Stage_IIIA",1807.32924242422,-12487.7248777086,16102.383362557,0.999999990609372
"Stage_IVA-Stage_IIIA",2653.20333333332,-11959.9502637146,17266.3569303812,0.999998863890646
"Stage_IVB-Stage_IIIA",6794.46833333332,-14408.5234144026,27997.4600810692,0.998891375419245
"Stage_IIIC-Stage_IIIB",-2026.33202727273,-7843.55847743524,3790.89442288978,0.997292145210362
"Stage_IV-Stage_IIIB",-1254.45931818183,-7319.33714164659,4810.41850528294,0.999993964884943
"Stage_IVA-Stage_IIIB",-408.585227272724,-7189.32477152181,6372.15431697636,1
"Stage_IVB-Stage_IIIB",3732.67977272728,-13060.2065119644,20525.566057419,0.99998509608363
"Stage_IV-Stage_IIIC",771.872709090903,-6017.90180191621,7561.64722009801,0.999999997772361
"Stage_IVA-Stage_IIIC",1617.7468,-5818.42988319617,9053.92348319618,0.999988604817363
"Stage_IVB-Stage_IIIC",5759.01180000001,-11309.0673147496,22827.0909147496,0.998064855747826
"Stage_IVA-Stage_IV",845.874090909101,-6785.59648197493,8477.34466379313,0.999999998420895
"Stage_IVB-Stage_IV",4987.1390909091,-12166.9258532503,22141.2040350685,0.999627379587878
"Stage_IVB-Stage_IVA",4141.265,-13278.7703002463,21561.3003002463,0.999965808866113
