"","Stage.diff","Stage.lwr","Stage.upr","Stage.p.adj"
"Stage_IIIB-Stage_IIC",10861.9952272728,-12355.3038294866,34079.2942840323,0.948988373394244
"Stage_IIIC-Stage_IIC",8835.66320000012,-14576.8721691222,32248.1985691225,0.991745129129508
"Stage_IV-Stage_IIC",9607.53590909103,-13866.3156768693,33081.3874950513,0.982893690340797
"Stage_IVA-Stage_IIC",10453.4100000001,-13211.0307893194,34117.8507893196,0.967523052376534
"Stage_IVB-Stage_IIC",14594.6750000001,-13522.8704841539,42712.2204841541,0.892783066683149
"Stage_IIIA-Stage_III",-4433.72333333332,-19976.2813994484,11108.8347327818,0.999505157258597
"Stage_IIIB-Stage_III",-1371.93477272728,-10195.8660466254,7451.99650117088,0.999999582097634
"Stage_IIIC-Stage_III",-3398.2668,-12723.8016396691,5927.26803966907,0.99405403838456
"Stage_IV-Stage_III",-2626.39409090909,-12104.8167400194,6852.0285582012,0.999638511920917
"Stage_IVA-Stage_III",-1780.52,-11721.5735410832,8160.53354108324,0.999997655903248
"Stage_IVB-Stage_III",2360.745,-15789.0525660597,20510.5425660597,0.999999954321224
"Stage_IIIB-Stage_IIIA",3061.78856060604,-10637.3651975449,16760.9423187569,0.999967738069834
"Stage_IIIC-Stage_IIIA",1035.45653333332,-12992.039701165,15062.9527678316,0.999999999965794
"Stage_IV-Stage_IIIA",1807.32924242422,-12322.2689994986,15936.9274843471,0.99999996295282
"Stage_IVA-Stage_IIIA",2653.20333333332,-11790.8125926364,17097.219259303,0.999996822220372
"Stage_IVB-Stage_IIIA",6794.46833333332,-14163.1126876702,27752.0493543368,0.998114262938662
"Stage_IIIC-Stage_IIIB",-2026.33202727272,-7776.22789561516,3723.56384106971,0.995685313235271
"Stage_IV-Stage_IIIB",-1254.45931818182,-7249.14015756491,4740.22152120127,0.999985029384044
"Stage_IVA-Stage_IIIB",-408.585227272724,-7110.84215741077,6293.67170286532,0.999999999997159
"Stage_IVB-Stage_IIIB",3732.67977272728,-12865.8398642718,20331.1994097264,0.999965360087996
"Stage_IV-Stage_IIIC",771.872709090905,-5939.31461398914,7483.06003217095,0.999999990257894
"Stage_IVA-Stage_IIIC",1617.7468,-5732.36101397029,8967.85461397028,0.999972997858195
"Stage_IVB-Stage_IIIC",5759.0118,-11111.5154904924,22629.5390904924,0.996839698861661
"Stage_IVA-Stage_IV",845.874090909094,-6697.26721402961,8389.0153958478,0.999999992921857
"Stage_IVB-Stage_IV",4987.13909090909,-11968.3787993983,21942.6569812165,0.999313820781126
"Stage_IVB-Stage_IVA",4141.265,-13077.1448139187,21359.6748139187,0.999925152033329
