"","strata","time","n.risk","n.event","surv","std.err","lower","upper"
"1","TU$cluster=1",179,17,1,0.941176470588235,0.0570672058909019,0.835717288846709,1
"2","TU$cluster=1",228,16,1,0.882352941176471,0.0781424899005966,0.741751890629762,1
"3","TU$cluster=1",236,15,1,0.823529411764706,0.0924594409403971,0.660865168950524,1
"4","TU$cluster=1",334,14,1,0.764705882352941,0.102879368493554,0.587460143264406,0.995429380546065
"5","TU$cluster=1",383,13,1,0.705882352941177,0.110510169015026,0.51936365433106,0.959385378700677
"6","TU$cluster=1",494,12,1,0.647058823529412,0.115904043075739,0.455483629198491,0.919210031420935
"7","TU$cluster=1",743,11,1,0.588235294117647,0.119364624987269,0.39520768269978,0.87554158583635
"8","TU$cluster=1",758,10,1,0.529411764705882,0.121057824806477,0.338184558848181,0.82876881654085
"9","TU$cluster=1",858,9,1,0.470588235294118,0.121057824806477,0.284230890104662,0.779131666919405
"10","TU$cluster=1",899,8,1,0.411764705882353,0.119364624987269,0.233291071867258,0.726775232559495
"11","TU$cluster=1",1094,7,1,0.352941176470588,0.115904043075739,0.185426661033485,0.671788368264627
"12","TU$cluster=1",1348,6,1,0.294117647058824,0.110510169015026,0.140830017475237,0.614252500015699
"13","TU$cluster=1",1518,5,1,0.235294117647059,0.102879368493554,0.099869756671287,0.554355228695828
"14","TU$cluster=1",1849,4,1,0.176470588235294,0.0924594409403972,0.0631970044893223,0.492774440240636
"15","TU$cluster=1",1881,3,1,0.117647058823529,0.0781424899005966,0.032003944333079,0.432472644802136
"16","TU$cluster=1",2475,2,1,0.0588235294117647,0.0570672058909019,0.0087854555415608,0.393856368185777
"17","TU$cluster=1",2821,1,1,0,NA,NA,NA
"18","TU$cluster=2",43,24,1,0.958333333333333,0.04078937543219,0.881631402331465,1
"19","TU$cluster=2",49,23,1,0.916666666666667,0.0564169333655275,0.81250044137222,1
"20","TU$cluster=2",59,22,1,0.875,0.0675077156084152,0.752205367727069,1
"21","TU$cluster=2",97,21,1,0.833333333333333,0.0760725774312731,0.696811066859315,0.996603638306812
"22","TU$cluster=2",153,20,1,0.791666666666667,0.0828981693493981,0.644777814650912,0.972018727800724
"23","TU$cluster=2",156,19,1,0.75,0.0883883476483184,0.595314141904077,0.944879283735604
"24","TU$cluster=2",159,18,1,0.708333333333333,0.0927804806658846,0.547953518156964,0.915654511716058
"25","TU$cluster=2",172,17,1,0.666666666666667,0.0962250448649376,0.502398554195833,0.884645150215145
"26","TU$cluster=2",206,16,1,0.625,0.0988211768802619,0.458451329088917,0.852053370150091
"27","TU$cluster=2",290,15,1,0.583333333333333,0.100634560737427,0.415978205152657,0.818018284522626
"28","TU$cluster=2",357,14,1,0.541666666666667,0.101707073026922,0.374890669952753,0.782635582301249
"29","TU$cluster=2",368,13,1,0.5,0.102062072615966,0.335134560862698,0.745969020194319
"30","TU$cluster=2",424,12,1,0.458333333333333,0.101707073026922,0.296684203383067,0.708057395874262
"31","TU$cluster=2",427,11,1,0.416666666666667,0.100634560737427,0.259539852885055,0.668918893115038
"32","TU$cluster=2",442,10,1,0.375,0.0988211768802619,0.223727807016363,0.628553964191473
"33","TU$cluster=2",643,9,1,0.333333333333333,0.0962250448649376,0.189303230443548,0.586947781349382
"34","TU$cluster=2",680,8,1,0.291666666666667,0.0927804806658846,0.156356432432444,0.544073838990921
"35","TU$cluster=2",715,7,1,0.25,0.0883883476483184,0.125024410931402,0.499902375339262
"36","TU$cluster=2",805,6,1,0.208333333333333,0.0828981693493981,0.0955116008314884,0.454424147432662
"37","TU$cluster=2",1162,5,1,0.166666666666667,0.0760725774312731,0.0681287118857565,0.40772498127306
"38","TU$cluster=2",1422,4,1,0.125,0.0675077156084152,0.0433719191340152,0.360256136043236
"39","TU$cluster=2",1503,3,1,0.0833333333333333,0.0564169333655275,0.0221081592897653,0.314112285578623
"40","TU$cluster=2",1910,2,1,0.0416666666666667,0.04078937543219,0.00611658837154872,0.283836512390898
"41","TU$cluster=2",3042,1,1,0,NA,NA,NA
