"","Race.diff","Race.lwr","Race.upr","Race.p.adj"
"BLACK-ASIAN",8904.94456140354,3356.27290539132,14453.6162174158,0.000259112769739223
"Not_Accessed-ASIAN",4908.52043478268,-1268.05198838162,11085.092857947,0.1710367269035
"WHITE-ASIAN",3825.5572680413,-1396.57735133118,9047.69188741377,0.233236736383125
"Not_Accessed-BLACK",-3996.42412662086,-8158.51911729992,165.670864058193,0.064999488580476
"WHITE-BLACK",-5079.38729336224,-7617.82732528945,-2540.94726143503,2.63337465045144e-06
"WHITE-Not_Accessed",-1082.96316674138,-4798.60140909636,2632.6750756136,0.875216484112489
