"","strata","time","n.risk","n.event","surv","std.err","lower","upper"
"26","TUfin$cluster=2",212,40,1,0.795918367346939,0.0575755616855146,0.690707007062585,0.917155959043016
"27","TUfin$cluster=2",255,39,1,0.775510204081633,0.0596065548112562,0.667057456888673,0.901595612827558
"28","TUfin$cluster=2",256,38,1,0.755102040816326,0.0614323833985582,0.643805898170305,0.885638192606544
"29","TUfin$cluster=2",290,37,1,0.73469387755102,0.063070867792373,0.620917331569391,0.869318774444019
"30","TUfin$cluster=2",304,36,2,0.693877551020408,0.0658401737063336,0.576122203434773,0.835701267785957
"31","TUfin$cluster=2",313,34,1,0.673469387755102,0.0669919842161869,0.554174240164916,0.818444783915357
"32","TUfin$cluster=2",334,33,1,0.653061224489796,0.0679994390069423,0.53250448358735,0.800911496667524
"33","TUfin$cluster=2",336,32,1,0.63265306122449,0.068868873533631,0.51110032034025,0.783114155769387
"34","TUfin$cluster=2",357,31,1,0.612244897959184,0.0696054599785033,0.489951387931996,0.765063278337071
"35","TUfin$cluster=2",386,30,1,0.591836734693878,0.0702133794681766,0.469049234248384,0.746767492530701
"36","TUfin$cluster=2",411,29,1,0.571428571428571,0.0706959513293419,0.448387060504629,0.728233798445053
"37","TUfin$cluster=2",424,28,1,0.551020408163265,0.0710557294866119,0.427959527716074,0.709467766339456
"38","TUfin$cluster=2",476,27,1,0.530612244897959,0.0712945729483235,0.407762612904173,0.690473686222473
"39","TUfin$cluster=2",479,26,1,0.510204081632653,0.071413695124874,0.387793505511052,0.671254678624833
"40","TUfin$cluster=2",543,25,1,0.489795918367347,0.071413695124874,0.36805053755609,0.651812773436725
"41","TUfin$cluster=2",573,24,1,0.469387755102041,0.0712945729483235,0.348533143372557,0.632148961524219
"42","TUfin$cluster=2",654,23,1,0.448979591836735,0.0710557294866119,0.329241846607557,0.612263222196538
"43","TUfin$cluster=2",672,22,1,0.428571428571429,0.0706959513293419,0.310178273768604,0.592154528285168
"44","TUfin$cluster=2",686,21,1,0.408163265306122,0.0702133794681767,0.291345195127401,0.571820829488901
"45","TUfin$cluster=2",688,20,1,0.387755102040816,0.0696054599785033,0.272746595406387,0.551259013644732
"46","TUfin$cluster=2",715,19,1,0.36734693877551,0.068868873533631,0.254387778551863,0.530464844639645
